type,family,path,exists,size,sha256,copied_to_sandbox,sandbox_path,verdict
SCRIPT,BORN,backtest_born.py,True,10897,50ad513dd33e093935c0ced9a3564568145f20fbc9c10ca9e7618fcf8ba8c14b,True,auditactionsv1/CONTROLE_MULTIMONDES_V1ZD_SANDBOX_PRECHECK_BORN_20260505_194846/sandbox_born_inputs/scripts/backtest_born.py,SCRIPT_PRET_COPIE
SCRIPT,BORN,born_local.py,True,10086,f7bc2b3ecaead4c3d94bb8091f1e1371117832c71b9c3bc43bfb3d4e138029c7,True,auditactionsv1/CONTROLE_MULTIMONDES_V1ZD_SANDBOX_PRECHECK_BORN_20260505_194846/sandbox_born_inputs/scripts/born_local.py,SCRIPT_PRET_COPIE
SCRIPT,BORN,born_recalibre.py,True,11295,f818824c2284b8f991f69538c8ef78191c8dea65fc4fdf58b135db4eeb97ff70,True,auditactionsv1/CONTROLE_MULTIMONDES_V1ZD_SANDBOX_PRECHECK_BORN_20260505_194846/sandbox_born_inputs/scripts/born_recalibre.py,SCRIPT_PRET_COPIE
SCRIPT,BORN,born_temps_validation.py,True,9401,d9acb122719206a370f1058254d1cfc6b51d3586cce1d379426915c2bac1367d,True,auditactionsv1/CONTROLE_MULTIMONDES_V1ZD_SANDBOX_PRECHECK_BORN_20260505_194846/sandbox_born_inputs/scripts/born_temps_validation.py,SCRIPT_PRET_COPIE
SCRIPT,BORN,research/backtest_born.py,True,10897,50ad513dd33e093935c0ced9a3564568145f20fbc9c10ca9e7618fcf8ba8c14b,True,auditactionsv1/CONTROLE_MULTIMONDES_V1ZD_SANDBOX_PRECHECK_BORN_20260505_194846/sandbox_born_inputs/scripts/backtest_born.py,SCRIPT_PRET_COPIE
INPUT,BORN,banc_27d_enrichi_v4.csv,True,5020673,6850e7f0bb0673498c5db86910570dcf3f6dccb098422c8fd51754f1803ab634,True,auditactionsv1/CONTROLE_MULTIMONDES_V1ZD_SANDBOX_PRECHECK_BORN_20260505_194846/sandbox_born_inputs/inputs/banc_27d_enrichi_v4.csv,INPUT_PRET_COPIE
INPUT,BORN,seragone_v3_final.csv,True,399265,18320500a19a9b9d3d4840bbafe524865705201a0806bfd0f32c3ec5eb14c655,True,auditactionsv1/CONTROLE_MULTIMONDES_V1ZD_SANDBOX_PRECHECK_BORN_20260505_194846/sandbox_born_inputs/inputs/seragone_v3_final.csv,INPUT_PRET_COPIE
