key,path,exists,sha256,expected_sha256,hash_match,bytes,lines,syntax_ast_ok,imports,functions,top_level_candidates,contract_hits,concept_hits,runtime_hits,write_hits,classification,blocking_reasons
contrat_v1,auditphasee/CONTRATORCHESTRATEURDEMOV12026-05-132330VALIDATED.md,False,,2445e4776e234169e4d0e3c4be3bd14df284c1d593c8feefdfe18c02dcdf8c2d,False,0,0,,,,,,,,,BLOCKING,MISSING
squelette_v1,auditphasee/orchestrateurdemov1skeleton2026-05-132352SYNTAXOK.py,False,,f3f5512fc4a5453d005a8dc4dbc1aff8b41d889f281ef3d541b5f2c3c0f3353d,False,0,0,,,,,,,,,BLOCKING,MISSING
wrapper_aplomb,auditphasee/wrapper_aplomb_v1_inert.py,True,a42ba83d38b7160e6ed2ac70feb9bbb9c6b5e6e39af0ded4f6e5479624759132,a42ba83d38b7160e6ed2ac70feb9bbb9c6b5e6e39af0ded4f6e5479624759132,True,1168,44,True,,wrapper_aplomb_v1_inert,,,marketcontext,,,BLOCKING,BRIDGE_CONCEPTS_INCOMPLETE
wrapper_double_tempo,auditphasee/wrapper_double_tempo_v1_inert.py,True,f9d9ab24227c0fdd3d40559a2061fb6bbbf02f6c0d0acc24984f3c7166de3f01,f9d9ab24227c0fdd3d40559a2061fb6bbbf02f6c0d0acc24984f3c7166de3f01,True,1289,45,True,,wrapper_double_tempo_v1_inert,,,marketcontext|policydecision|tempobudgets,,,CONCEPTION_BRANCHEMENT_LISIBLE,
wrapper_prudence_measure,auditphasee/wrapper_prudence_measure_v1_inert.py,True,bf0ca6a0a27f8f72a551d95d85512f8990f0def9bb658336dee0b9c8495d561c,bf0ca6a0a27f8f72a551d95d85512f8990f0def9bb658336dee0b9c8495d561c,True,1562,53,True,,wrapper_prudence_measure_v1_inert,,,marketcontext|policydecision|allocationcandidate|prudencemeasure,,,CONCEPTION_BRANCHEMENT_LISIBLE,
wrapper_allocation,auditphasee/wrapper_allocation_v1_inert.py,True,72be41068f46c274f3ec5bb52d62ff44744ed520bc95594937179e9208a4834b,72be41068f46c274f3ec5bb52d62ff44744ed520bc95594937179e9208a4834b,True,1613,55,True,,wrapper_allocation_v1_inert,,,capital|policydecision|tempobudgets|prudencemeasure|allocationstate,,,CONCEPTION_BRANCHEMENT_LISIBLE,
