role,candidate_status,path,sha256,lines,parse_status,functions,args,imports,dangerous_imports_count,write_calls_count,exec_calls_count,top_level_calls_count,path_literals_count,verdict
wrapper_aplomb,EXACT_CANDIDATE_FOUND,auditphasee/wrapper_aplomb_v1_inert.py,a42ba83d38b7160e6ed2ac70feb9bbb9c6b5e6e39af0ded4f6e5479624759132,44,AST_OK,wrapper_aplomb_v1_inert,wrapper_aplomb_v1_inert(marketcontext|parameters),,0,1,0,1,0,ALERTE_WRITE_POTENTIEL
wrapper_double_tempo,EXACT_CANDIDATE_FOUND,auditphasee/wrapper_double_tempo_v1_inert.py,f9d9ab24227c0fdd3d40559a2061fb6bbbf02f6c0d0acc24984f3c7166de3f01,45,AST_OK,wrapper_double_tempo_v1_inert,wrapper_double_tempo_v1_inert(marketcontext|policydecision),,0,0,0,1,0,WRAPPER_LISIBLE_AST_SANS_ALERTE_MAJEURE
wrapper_prudence_measure,EXACT_CANDIDATE_FOUND,auditphasee/wrapper_prudence_measure_v1_inert.py,bf0ca6a0a27f8f72a551d95d85512f8990f0def9bb658336dee0b9c8495d561c,53,AST_OK,wrapper_prudence_measure_v1_inert,wrapper_prudence_measure_v1_inert(marketcontext|policydecision|allocationcandidate),,0,0,0,1,0,WRAPPER_LISIBLE_AST_SANS_ALERTE_MAJEURE
wrapper_allocation,EXACT_CANDIDATE_FOUND,auditphasee/wrapper_allocation_v1_inert.py,72be41068f46c274f3ec5bb52d62ff44744ed520bc95594937179e9208a4834b,55,AST_OK,wrapper_allocation_v1_inert,wrapper_allocation_v1_inert(capital|policydecision|tempobudgets|prudencemeasure),,0,0,0,1,2,WRAPPER_LISIBLE_AST_SANS_ALERTE_MAJEURE
