key,expected_sha256,resolved_path,resolved_sha256,hash_exact,exists,bytes,lines,functions,args,return_lines,dict_keys,text_has_marketcontext,text_has_aplomb,text_has_aplombcontext,classification,blocking_reasons
contrat_v1,2445e4776e234169e4d0e3c4be3bd14df284c1d593c8feefdfe18c02dcdf8c2d,auditphasee/CONTRAT_ORCHESTRATEUR_DEMO_V1_2026-05-13_2330_VALIDATED.md,2445e4776e234169e4d0e3c4be3bd14df284c1d593c8feefdfe18c02dcdf8c2d,True,True,8290,176,,,,,,,,RECTIFIABLE_OU_LISIBLE,
squelette_v1,f3f5512fc4a5453d005a8dc4dbc1aff8b41d889f281ef3d541b5f2c3c0f3353d,auditphasee/orchestrateur_demo_v1_skeleton_2026-05-13_2352_SYNTAX_OK.py,f3f5512fc4a5453d005a8dc4dbc1aff8b41d889f281ef3d541b5f2c3c0f3353d,True,True,8077,225,,,,,,,,RECTIFIABLE_OU_LISIBLE,
wrapper_aplomb,a42ba83d38b7160e6ed2ac70feb9bbb9c6b5e6e39af0ded4f6e5479624759132,auditphasee/wrapper_aplomb_v1_inert.py,a42ba83d38b7160e6ed2ac70feb9bbb9c6b5e6e39af0ded4f6e5479624759132,True,True,1168,44,wrapper_aplomb_v1_inert,marketcontext|parameters,21,schema|role|mode|realfinanceallowed|branching_allowed|final_decision,True,True,False,RECTIFIABLE_OU_LISIBLE,
