Date,Close,halving,mayer,vol_an,saison,skew,macro,corrections,levy90,hurst,sir,omori,autocorr,hopf7,levy7,dow,range_pos,range_intra,gap,shock_24h,echoes_24h,damping_24h,mom_1h,burst_1h,compress_1h,tick_burst,ofi,size_change,forward_5d
2015-04-11,236.552001953125,0.5917808219178082,0.190423086143838,0.8360400699877175,0.017037086855465844,0.47379990640497893,0.5,0.75,0.6,0.55285906505374,0.16220073646277483,0.30090727236414827,0.44309770327462855,0.31742788978412634,0.0,0.3,0.44330457251482625,0.11473539237235314,0.05584488006084347,0.015525481888240223,0.0,0.05173728983678415,0.4869330315832911,0.22507692738554586,0.19600950224649527,0.1880995641238464,0.5,0.5052565621560932,-0.03373044337131048
2015-04-12,236.1529998779297,0.5924657534246576,0.18980545604746202,0.828413896633546,0.017037086855465844,0.4724928485695646,0.5,0.75,0.6,0.545016688303339,0.18732717296628693,0.39586512224465736,0.4389388872383472,0.08509953741633283,0.0,0.35,0.6279243297021779,0.08056375505009124,0.016916883250579346,0.012137049471695409,1.0,0.04085278781771116,0.4641483812251115,0.12083647854212692,0.14622570283461495,0.09937892586573133,0.5,0.166210526501102,-0.05619660178193775
2015-04-13,224.5870056152344,0.5931506849315068,0.16308864637137693,0.8278106798927447,0.017037086855465844,0.4822957235945414,0.5,0.75,0.6,0.5473963461931378,0.17545119873060133,0.43670283791877534,0.4359588364066771,0.23031079938265628,0.6666666666666666,0.85,0.1734389331611964,0.40236479852302026,0.20237206278702316,0.4745622721583668,0.5,1.0,0.1745019421303946,0.6599430613227758,0.7573698750074299,0.5764823776026153,0.5,0.795665305463409,-0.005481184471225364
2015-04-14,219.15899658203125,0.5938356164383561,0.15090860754549776,0.8218685006722674,0.017037086855465844,0.486441018922299,0.5,0.5,0.4,0.531961090212319,0.20960098635613406,0.5989886570302537,0.4368816220355978,0.12598340031921576,0.3333333333333333,0.7,0.3277474373239896,0.22654237949864298,0.18029270074802034,0.23197850065071868,0.5,0.48733256260241825,0.3264476452456541,0.6025069035626769,0.3389771510082833,0.5974127551929483,0.5,0.01606073998293868,0.015700973152595887
2015-04-15,223.8329925537109,0.5945205479452055,0.1624794726508785,0.8162233431665677,0.017037086855465844,0.4812576485124876,0.5,0.5,0.6,0.5164993313204191,0.2422751541055443,0.5935667791056048,0.44061456043721103,0.25886369702304163,0.3333333333333333,0.9,1.0,0.12142746421036188,0.09237904541174556,0.20418911991725494,0.5,0.4286035284261093,0.6051051127346374,0.3760767946712268,0.15808533292690588,0.36987935105753394,0.5,0.3723307557563733,0.0035428848862701923
2015-04-16,228.572998046875,0.5952054794520548,0.1741227629896854,0.8106129509223053,0.017037086855465844,0.47614456257488,0.5,0.5,0.6,0.5138081577584008,0.2138580929635202,0.7788872950935418,0.43624657657999477,0.3886022882963037,0.3333333333333333,0.75,0.8090354465888401,0.13586821150638492,0.08836370052065425,0.2027180767476199,0.0,0.4254946810065521,0.6041837044832365,0.4278299052787107,0.1876624922672132,0.41637151650174115,0.5,0.08115170820156682,0.029294795110202054
2015-04-17,222.8820037841797,0.5958904109589042,0.16118972477670265,0.8050704632486421,0.017037086855465844,0.4804565024476109,0.5,0.5,0.6,0.5027613393029202,0.22264246162757645,0.9016886400421883,0.4222819265337471,0.5999841376032073,0.0,0.65,0.1349801596431146,0.16963376598319516,0.0020587715591926913,0.23910783177361702,0.5,0.5023994234003174,0.3219820900130109,0.33370240000068,0.2949332743216798,0.3017713784828946,0.5,0.15261910711304597,0.050672512347849086
2015-04-18,223.3560028076172,0.5965753424657534,0.1628271409630672,0.7980750744178773,0.017037086855465844,0.4783488721275765,0.5,0.5,0.6,0.5049065476490052,0.22157634604231186,1.0,0.45029264167635896,0.524480197195188,0.3333333333333333,0.3,0.7209316767431282,0.06313576935366287,0.03063859898884555,0.016439005954835797,0.5,0.03181948472027277,0.48750523002735396,0.11676393661651088,0.07953052334434467,0.1223155289286959,0.5,0.3085200589094858,0.05867763858088826
2015-04-19,222.6000061035156,0.5972602739726027,0.16155424199893298,0.7911325064345683,0.017037086855465844,0.4774290411963202,0.5,0.5,0.6,0.4945186226901885,0.24376952128511498,0.7770393925240122,0.4407953080643529,0.5990350565269257,0.3333333333333333,0.35,0.05703649461532144,0.07996303454289166,0.1053911948404374,0.028740709816019797,0.5,0.05781744391985714,0.4537484487414755,0.17315820087787154,0.11555526023265686,0.1820010799624052,0.5,0.09742015014448048,0.03893979797802527
2015-04-20,224.62600708007807,0.5979452054794521,0.16683802235555745,0.7846459250023442,0.017037086855465844,0.4740486983398429,0.5,0.5,0.6,0.49285534858732144,0.25804331792492474,0.6741028772850352,0.44146333240400276,0.7802883405319553,0.3333333333333333,0.85,0.6056255974101051,0.0929815715631483,0.012684085570795391,0.08464263337850583,0.0,0.357858232692526,0.5302255161350914,0.32312638669225,0.21608304698644737,0.27288555471739095,0.5,0.16689934832655637,0.0078530190359547
