date,c3_shock,c3_echo,c3_damp,c2_mom,c2_burst,c2_comp,c1_burst,c1_ofi,c1_size
2021-12-31,0.5,0.5,0.5,,,,0.3790001869140326,0.19260579473704023,0.2959795570873026
2022-01-01,0.5208333333333334,0.5208333333333334,0.4829539474248019,0.5098520082365353,0.3142968000443672,0.3382319753600262,0.33418561278413683,0.1625095723607849,0.3332234246657637
2022-01-02,1.0,1.0,0.1567194385535762,0.4987319298112396,0.3440492214050037,0.3369818027931004,0.3321594885801342,0.14810046177038017,0.33598037706230294
2022-01-03,1.0,1.0,0.22391909332009108,0.4918625230146798,0.3739125380457389,0.34043530542030737,0.3357870646150924,0.13928687627711434,0.33513226398050233
2022-01-04,1.0,1.0,0.18183778472172815,0.496026320350538,0.3445709196601342,0.3380444914082253,0.33713386319320365,0.15185296119068534,0.3342072078290662
2022-01-05,1.0,1.0,0.16481687568028197,0.47774343332921415,0.4202683165385658,0.34384744936530653,0.33758722128816054,0.13942272444184128,0.3360622210263194
2022-01-06,1.0,1.0,0.08638677009320557,0.49643856982654466,0.23759944045886316,0.3283052265445277,0.32765705897963704,0.13262404127032296,0.3316359698141287
2022-01-07,1.0,1.0,0.13526207704072804,0.48432042727420604,0.34191024132263176,0.34753628984176027,0.33089261230027645,0.12803939363806402,0.3350365918811874
2022-01-08,1.0,1.0,0.12239987901971079,0.5034577216807546,0.3833049185670301,0.33833045077871177,0.3362239507323299,0.1469594329792571,0.33460277753655976
2022-01-09,1.0,1.0,0.12066158124558041,0.5010845018925791,0.2972765356070175,0.34133485041317324,0.3351574554564775,0.14687447665503148,0.3342970224497601
2022-01-10,1.0,1.0,0.14271588369100818,0.49900533468700137,0.3792638835734052,0.33651254706077394,0.3321288154349991,0.13427150824138598,0.33363158806073057
2022-01-11,1.0,1.0,0.09807009734433399,0.5100006028823643,0.3285879847853535,0.3361409689608143,0.3370768214872712,0.15309580231085806,0.333469869743203
2022-01-12,1.0,1.0,0.16510429048562847,0.5112200037970737,0.34419121814013853,0.33926796222411976,0.3321182878810806,0.13703769754631326,0.33388328523633787
2022-01-13,1.0,1.0,0.16660625532578524,0.4877346435880927,0.3539362509089774,0.34078464878011966,0.3377254549486597,0.15025847872657394,0.3354975078357146
2022-01-14,1.0,1.0,0.14888199329840773,0.5047225799356315,0.3174336793176353,0.34035172274187947,0.334355330930337,0.1457056342015375,0.33232706314335386
2022-01-15,1.0,1.0,0.14777650934901063,0.5012456687369976,0.3403522288039645,0.33749054386931937,0.3348266681369164,0.15638146764663705,0.33581711224483796
2022-01-16,1.0,1.0,0.16038237909869504,0.4992627818827413,0.3154619215420242,0.3366410871326087,0.33357547633219614,0.15980754526547175,0.33399701925309433
2022-01-17,1.0,1.0,0.22249676337465518,0.4906280433771766,0.3862748936102995,0.34240536041674885,0.3362875087026819,0.14453718966099638,0.33397928125819015
2022-01-18,1.0,1.0,0.15504330104440445,0.5027507389225203,0.31860365430051607,0.33707862934641786,0.3361411624874926,0.14509031640545308,0.3354943732980388
2022-01-19,1.0,1.0,0.16654234887417307,0.493996415287123,0.333993001903057,0.34162436301078697,0.3362845057478131,0.1616066685854829,0.3337837814800253
2022-01-20,1.0,1.0,0.1506873820196003,0.49021759364978773,0.41486893707251127,0.34588614965219916,0.34207486211399485,0.16799051999455095,0.338776446925672
2022-01-21,1.0,1.0,0.17975373854859114,0.4538642656899662,0.3753856959391047,0.3439660250757956,0.3335254646004245,0.13003928263312567,0.33322102091667744
2022-01-22,1.0,1.0,0.11704131330551215,0.48297188640965566,0.28616877314707784,0.3329078241102704,0.33046931744920793,0.13333605952979768,0.33203433687698886
2022-01-23,1.0,1.0,0.10265001287384012,0.5147440845822806,0.318266779622299,0.34572938533515146,0.3403331065937571,0.13691072980392358,0.3386881508598075
2022-01-24,1.0,1.0,0.16248651416478688,0.5055242473826717,0.39926282132002,0.33287437127127456,0.33043297193279075,0.13121533940164387,0.33123714531875237
2022-01-25,1.0,1.0,0.10953125187442427,0.5037051306285775,0.30097304001734315,0.336890441577516,0.3341076528929485,0.12338786197231048,0.3330641085187905
2022-01-26,1.0,1.0,0.14953130975807735,0.49864105422750615,0.3904578667447026,0.34076887217496316,0.3360541747824403,0.12355472032826374,0.33517598896265466
2022-01-27,1.0,1.0,0.10340293282897264,0.5030405981842605,0.2942023835890437,0.3402822675870279,0.3366091584148527,0.16406075954213226,0.33576957147696285
2022-01-28,1.0,1.0,0.11942630226679629,0.5088084427610771,0.30435893948798654,0.330803417467171,0.33015129198997173,0.14372351536330968,0.33093313445005773
2022-01-29,1.0,1.0,0.12320729597267609,0.5037174471561441,0.32621578498994835,0.3406357168542585,0.3310597725780457,0.15287502541333672,0.3358394724872211
2022-01-30,1.0,1.0,0.09070038448555245,0.49957863223322807,0.3137482989074913,0.34332803897902464,0.3362685332871838,0.1699776861896659,0.33668865295984385
2022-01-31,1.0,1.0,0.11151387314934223,0.5048480301058266,0.3842719675861936,0.3358594693812767,0.334111708703658,0.14113824042109424,0.3328468100523702
2022-02-01,1.0,1.0,0.14193337976722586,0.5035255271156905,0.3303149013518787,0.34127664521696033,0.3351269668676647,0.15238273682770787,0.33447870658992707
2022-02-02,1.0,1.0,0.12996755297509682,0.48055692852858656,0.369044760463392,0.33949131139449984,0.3358771713054592,0.15305333366929108,0.33764171259492104
2022-02-03,1.0,1.0,0.1339866931563306,0.5008597935517745,0.30162492946418706,0.3386093473798358,0.33224482406395034,0.14008451276977296,0.3338507585907919
2022-02-04,1.0,1.0,0.11419045932380573,0.5419127670257546,0.39207380502978023,0.3479683564185596,0.33875538814400064,0.15405911771330152,0.3342682102003958
2022-02-05,1.0,1.0,0.07332023991701947,0.5064372662787443,0.2620735182313824,0.33646263819439975,0.32720788588024513,0.16635792685932896,0.3318681077974961
2022-02-06,1.0,1.0,0.16267783126599547,0.5068855750263546,0.33662485710068857,0.350581499952131,0.3406871954116454,0.17576393991809316,0.33842016602799596
2022-02-07,1.0,1.0,0.14137080592151247,0.5166750830846617,0.39205109374274316,0.33197295496381474,0.3280603790943217,0.1581702569789195,0.33250416453843545
2022-02-08,1.0,1.0,0.23010730989778327,0.5025416058372344,0.3412466219933484,0.33986202668861104,0.3356066458440277,0.15375522051803497,0.334311819135809
2022-02-09,1.0,1.0,0.19779198840554335,0.5027412446885724,0.2990824893087019,0.33903639808427394,0.3353312280765616,0.15403682989438827,0.3336588323318373
2022-02-10,1.0,1.0,0.15137899524841947,0.49362233639269654,0.4022759118166008,0.3432637060199492,0.3356716122529637,0.16290865967311366,0.33554846939361166
2022-02-11,1.0,1.0,0.09514781642777072,0.48696171621826934,0.32098636896022825,0.3387603085663373,0.3346196691060789,0.17006294339768796,0.33402895128912397
2022-02-12,1.0,1.0,0.09918599836053907,0.4987546276982883,0.29879957839436827,0.3367642815086934,0.3328902986348846,0.18357221571110183,0.3343090089844012
2022-02-13,1.0,1.0,0.09805291151390089,0.5004053610702964,0.32347403547607595,0.34093884984456607,0.3372168353296397,0.2204435433326073,0.33499909635858405
2022-02-14,1.0,1.0,0.1889319644159394,0.5047676448140017,0.3741791811987096,0.3392538399785706,0.3342257325276748,0.17730527295244788,0.3334140945847798
2022-02-15,1.0,1.0,0.10798345526573361,0.5167245185811686,0.31895424486351853,0.3437376144455205,0.33812050658186027,0.17284436401379177,0.33645974613496626
2022-02-16,1.0,1.0,0.15836721360672226,0.4970405605294182,0.3312315846951645,0.33345225848887494,0.3286261314911136,0.17583074866783277,0.3329427888272709
2022-02-17,1.0,1.0,0.1907661447025499,0.466274090551783,0.39906685853159707,0.3454401231140248,0.3339691020622415,0.17884304320273092,0.3382843660677292
2022-02-18,1.0,1.0,0.12226637604778236,0.49398712162438735,0.32548655441864616,0.33769746901668396,0.3343832862838896,0.16457718836449292,0.3303765807658034
2022-02-19,1.0,1.0,0.09117556450489618,0.500448695369985,0.28202249401326407,0.3372780416471027,0.3320721566108864,0.21562249040535467,0.33439596198530286
2022-02-20,1.0,1.0,0.1584101203570397,0.48473916358689156,0.38545980964741294,0.3487183982484953,0.33497834465509274,0.1791522824784052,0.33730748942381195
2022-02-21,1.0,1.0,0.1602388240702552,0.4853729895446489,0.42917760956576917,0.3445553878430511,0.3403359531769189,0.13650735865658106,0.3343579552175964
2022-02-22,1.0,1.0,0.11676605051374184,0.5102544726149404,0.2896648644640751,0.3337608153908039,0.3329754237404521,0.15009518279643985,0.3340360766604354
2022-02-23,1.0,1.0,0.14174640995472798,0.49134155270986507,0.35085280439328587,0.34301346441637776,0.333590788421373,0.13996126754263638,0.3342686897819067
2022-02-24,1.0,1.0,0.13010338373562866,0.5095642428075529,0.38674274443306084,0.3432924195583842,0.3349263107526126,0.11308700179912361,0.3309692513163307
2022-02-25,1.0,1.0,0.06873399287872398,0.5119366962774587,0.2854578230179239,0.3363736290181103,0.3362458825228121,0.14766697062125483,0.33495336491347255
2022-02-26,1.0,1.0,0.10664388567985,0.49705742015158605,0.28642473012062813,0.338064989507737,0.32871692510022593,0.18650296582372586,0.3346432481208598
2022-02-27,1.0,1.0,0.1901267562720314,0.4848559555185015,0.4147152284179879,0.3444411664627609,0.340913632271237,0.15883896086256044,0.333806504286772
2022-02-28,1.0,1.0,0.14197766363679898,0.5582166262234759,0.35806352116658197,0.34339177189473263,0.3327732390365594,0.14760494744791117,0.33529673660306547
2022-03-01,1.0,1.0,0.049909204554416255,0.5108447345743642,0.29066595187510724,0.33014886093580476,0.33131797984196754,0.14125597104715132,0.3341284344548146
2022-03-02,1.0,1.0,0.11658220355749159,0.49797830560596307,0.3266153730346658,0.3383659377032999,0.3325617792056754,0.13204715504394077,0.3329162968391321
